Number of words in topic: 787
('chicago', 0.9181818182)
('auxerre', 0.9181818182)
('tonga', 0.9181818182)
('hounslow', 0.9181818182)
('crewe', 0.9181818182)
('bromsgrove', 0.9181818182)
('harrogate', 0.9181818182)
('rochdale', 0.9181818182)
('sociedad', 0.9181818182)
('pradesh', 0.9181818182)
('toulouse', 0.9181818182)
('suffolk', 0.9181818182)
('runcorn', 0.9181818182)
('trinity', 0.9181818182)
('merseyside', 0.9181818182)
('richmond', 0.9181818182)
('sofia', 0.9181818182)
('arsene', 0.9181818182)
('morehouse', 0.9181818182)
('hibernian', 0.9181818182)
('blackburn', 0.9181818182)
('hyderabad', 0.9181818182)
('lille', 0.9181818182)
('waverley', 0.9181818182)
('dumbarton', 0.9181818182)
('charing', 0.9181818182)
('rotherham', 0.9181818182)
('manchester', 0.9181818182)
('bennington', 0.9181818182)
('bangor', 0.9181818182)
('bradford', 0.9181818182)
('durham', 0.9181818182)
('cumbria', 0.9181818182)
('brownsville', 0.9181818182)
('tampa', 0.9181818182)
('tobago', 0.9181818182)
('scunthorpe', 0.9181818182)
('ballymena', 0.9181818182)
('albacete', 0.9181818182)
('norfolk', 0.9181818182)
('atlanta', 0.9181818182)
('hove', 0.9181818182)
('hillingdon', 0.9181818182)
('anfield', 0.9181818182)
('caledonian', 0.9181818182)
('lyttelton', 0.9181818182)
('glasgow', 0.9181818182)
('wigan', 0.9181818182)
('cartagena', 0.9181818182)
('oxford', 0.9181818182)
('premiership', 0.9181818182)
('paulista', 0.9181818182)
('nebraska', 0.9181818182)
('jersey', 0.9181818182)
('eindhoven', 0.9181818182)
('carolina', 0.9181818182)
('swindon', 0.9181818182)
('andhra', 0.9181818182)
('sussex', 0.9181818182)
('connacht', 0.9181818182)
('gloucester', 0.9181818182)
('wembley', 0.9181818182)
('luton', 0.9181818182)
('seattle', 0.9181818182)
('louisiana', 0.9181818182)
('essex', 0.9181818182)
('trinidad', 0.9181818182)
('highbury', 0.9181818182)
('staten', 0.9181818182)
('millwall', 0.9181818182)
('halifax', 0.9181818182)
('dorset', 0.9181818182)
('coruna', 0.9181818182)
('headingley', 0.9181818182)
('maine', 0.9181818182)
('moor', 0.9181818182)
('tver', 0.9181818182)
('neath', 0.9181818182)
('siena', 0.9181818182)
('newport', 0.9181818182)
('miami', 0.9181818182)
('taunton', 0.9181818182)
('london', 0.9181818182)
('barnet', 0.9181818182)
('dundee', 0.9181818182)
('padova', 0.9181818182)
('ealing', 0.9181818182)
('watford', 0.9181818182)
('fenerbahce', 0.9181818182)
('wandsworth', 0.9181818182)
('dunfermline', 0.9181818182)
('brentford', 0.9181818182)
('dakota', 0.9181818182)
('duke', 0.9181818182)
('rhode', 0.9181818182)
('ipswich', 0.9181818182)
('ibrox', 0.9181818182)
('boro', 0.9181818182)
('grosvenor', 0.9181818182)
('fulham', 0.9181818182)
('kumasi', 0.9181818182)
('westmorland', 0.9181818182)
('shinjuku', 0.9181818182)
('villa', 0.9181818182)
('california', 0.9181818182)
('harrow', 0.9181818182)
('brom', 0.9181818182)
('county', 0.9181818182)
('leverkusen', 0.9181818182)
('santo', 0.9181818182)
('coventry', 0.9181818182)
('woolwich', 0.9181818182)
('allardyce', 0.9181818182)
('musselburgh', 0.9181818182)
('strasbourg', 0.9181818182)
('deportivo', 0.9181818182)
('virginia', 0.9181818182)
('atletico', 0.9181818182)
('keighley', 0.9181818182)
('plymouth', 0.9181818182)
('bangalore', 0.9181818182)
('maccabi', 0.9181818182)
('northampton', 0.9181818182)
('northolt', 0.9181818182)
('galway', 0.9181818182)
('werder', 0.9181818182)
('edgware', 0.9181818182)
('oldham', 0.9181818182)
('stockholm', 0.9181818182)
('sedgefield', 0.9181818182)
('stanford', 0.9181818182)
('montpellier', 0.9181818182)
('roma', 0.9181818182)
('omaha', 0.9181818182)
('seville', 0.9181818182)
('shropshire', 0.9181818182)
('stadium', 0.9181818182)
('sunderland', 0.9181818182)
('mulhouse', 0.9181818182)
('dame', 0.9181818182)
('janeiro', 0.9181818182)
('vale', 0.9181818182)
('york', 0.9181818182)
('burnley', 0.9181818182)
('southampton', 0.9181818182)
('lanarkshire', 0.9181818182)
('mansfield', 0.9181818182)
('brunswick', 0.9181818182)
('primera', 0.9181818182)
('chatham', 0.9181818182)
('connaught', 0.9181818182)
('fayetteville', 0.9181818182)
('darlington', 0.9181818182)
('mirren', 0.9181818182)
('palermo', 0.9181818182)
('gillingham', 0.9181818182)
('dortmund', 0.9181818182)
('etienne', 0.9181818182)
('goodison', 0.9181818182)
('lazio', 0.9181818182)
('madrid', 0.9181818182)
('orlando', 0.9181818182)
('armagh', 0.9181818182)
('douala', 0.9181818182)
('almeria', 0.9181818182)
('vlore', 0.9181818182)
('energie', 0.9181818182)
('murrayfield', 0.9181818182)
('cambridge', 0.9181818182)
('iowa', 0.9181818182)
('colchester', 0.9181818182)
('steaua', 0.9181818182)
('turin', 0.9181818182)
('stamford', 0.9181818182)
('lanzarote', 0.9181818182)
('wenger', 0.9181818182)
('birkenhead', 0.9181818182)
('leinster', 0.9181818182)
('porto', 0.9181818182)
('severn', 0.9181818182)
('twickenham', 0.9181818182)
('detroit', 0.9181818182)
('lancaster', 0.9181818182)
('finsbury', 0.9181818182)
('colorado', 0.9181818182)
('auvergne', 0.9181818182)
('milan', 0.9181818182)
('portland', 0.9181818182)
('francisco', 0.9181818182)
('edinburgh', 0.9181818182)
('stade', 0.9181818182)
('amsterdam', 0.9181818182)
('gwent', 0.9181818182)
('hampden', 0.9181818182)
('providence', 0.9181818182)
('frankfurt', 0.9181818182)
('brixton', 0.9181818182)
('middlesex', 0.9181818182)
('leipzig', 0.9181818182)
